# R,G,B per-pixel dark offset
789.08,556.18,503.71
789.76,558.51,508.00
789.18,557.84,509.02
793.95,556.16,521.44
794.76,564.02,513.77
799.90,563.84,534.05
802.82,566.03,515.67
802.10,566.94,519.47
807.52,568.76,518.98
808.16,568.82,522.84
810.26,571.50,522.90
816.60,576.84,525.06
821.24,576.25,525.59
821.30,576.51,529.91
822.50,579.77,528.18
830.90,590.19,531.55
829.77,586.09,531.50
833.25,585.93,531.77
835.63,604.85,536.06
837.74,586.94,535.91
840.62,588.77,537.88
842.01,587.97,537.64
845.25,591.84,539.67
847.49,593.53,543.10
853.27,595.06,550.72
855.02,595.47,546.08
855.83,600.26,545.89
857.40,599.34,548.63
862.95,598.13,566.68
864.87,605.43,551.71
865.05,605.45,550.87
866.93,606.11,552.55
867.84,606.09,557.27
873.84,612.63,553.34
871.88,607.74,554.91
873.10,608.64,564.92
875.92,612.92,557.65
879.22,610.75,559.83
882.62,614.80,561.78
883.71,617.74,563.40
887.56,617.69,561.93
886.73,619.12,563.61
890.09,619.08,563.64
888.59,620.20,566.49
894.79,617.96,574.95
898.10,622.48,566.40
895.84,622.95,569.50
895.13,621.97,554.08
900.65,625.79,556.48
912.54,624.31,575.05
903.07,627.15,595.49
902.24,628.51,570.98
908.74,630.47,571.44
908.65,628.10,574.56
908.14,631.99,573.73
912.24,628.42,575.68
912.98,628.62,577.27
915.55,631.25,579.81
915.88,632.31,580.26
916.85,632.98,590.75
918.90,633.23,577.91
922.16,635.55,579.48
919.89,633.75,583.59
922.43,636.91,583.15
924.98,638.03,600.86
927.46,639.55,594.36
922.21,638.82,581.29
928.27,639.22,582.01
927.50,640.62,584.36
932.08,641.27,583.35
933.31,641.49,588.43
932.93,645.72,588.77
932.27,643.51,587.33
941.55,646.11,589.07
934.13,646.08,588.69
935.95,644.46,593.82
935.24,645.48,590.78
939.43,647.83,590.50
940.60,648.67,591.25
946.74,649.04,591.56
944.79,644.63,593.50
947.33,650.09,594.92
948.71,653.73,594.92
947.63,651.08,594.92
974.07,657.99,593.05
947.65,653.83,593.93
949.83,651.59,591.93
948.03,653.09,597.89
951.58,656.29,595.23
953.59,651.87,595.90
959.58,654.48,596.94
952.04,653.61,596.72
953.94,658.65,597.64
954.71,655.22,595.54
955.91,655.41,593.40
954.40,655.05,596.67
956.28,657.74,598.87
960.64,654.92,600.75
954.87,655.72,596.65
954.85,657.90,598.68
959.40,659.61,595.02
959.70,661.82,602.21
959.02,659.17,601.63
958.23,658.68,598.59
959.49,657.79,598.95
960.99,656.71,598.97
961.47,657.20,598.80
969.33,659.65,598.81
985.66,662.18,601.03
975.16,659.75,601.20
965.79,661.83,597.52
969.21,659.66,599.98
961.95,659.28,601.59
962.35,659.50,601.21
962.59,658.20,601.07
968.57,662.11,599.82
966.23,660.86,599.00
964.59,661.70,603.81
964.60,664.59,605.30
967.26,661.36,604.84
967.55,659.97,602.35
966.67,665.33,603.22
968.67,669.69,600.12
970.57,663.40,603.44
970.51,663.47,606.31
968.64,662.19,604.70
967.94,668.46,601.70
972.36,664.30,602.89
971.70,662.45,607.14
972.70,664.33,607.79
974.11,664.79,606.92
971.47,666.11,604.75
975.46,685.12,610.41
975.77,664.15,607.00
974.69,680.17,608.09
973.83,666.23,604.14
981.37,676.05,607.32
977.63,664.70,606.31
977.84,668.46,605.50
979.07,669.27,607.94
979.61,671.41,607.27
980.56,668.04,608.76
979.16,667.05,606.22
977.63,668.18,610.47
981.12,671.40,607.58
979.22,669.41,610.88
981.41,674.19,604.86
980.87,672.21,609.34
980.53,671.13,614.81
982.12,670.35,606.05
982.54,669.19,609.26
983.36,669.10,611.76
981.34,667.88,610.45
981.22,668.22,607.90
983.07,673.19,608.65
984.55,671.37,609.72
984.05,670.09,609.69
985.23,668.98,607.85
986.68,671.93,606.59
985.45,688.64,609.92
986.40,671.91,607.47
985.61,671.88,618.36
987.67,670.30,609.73
988.74,672.08,609.12
986.96,669.76,609.68
989.37,680.44,615.29
984.69,669.76,607.41
988.59,669.69,609.73
987.90,672.27,610.51
990.28,671.42,614.63
988.43,672.70,610.59
992.31,672.09,610.02
988.57,674.07,611.24
988.30,673.93,612.13
991.84,676.94,613.22
992.56,674.20,611.87
991.94,671.86,611.40
988.87,672.54,613.26
990.00,676.67,609.99
987.80,673.59,623.68
989.88,670.48,609.22
990.86,671.37,614.60
988.07,670.71,611.85
989.05,680.95,612.10
989.81,671.54,613.68
994.03,669.88,609.32
988.43,673.01,611.06
996.65,674.51,610.52
993.02,671.23,614.38
988.24,672.31,608.28
987.84,673.09,608.44
986.79,672.98,608.89
1019.95,670.96,611.50
987.41,670.46,611.50
989.61,673.90,611.66
987.40,670.08,611.50
992.20,671.14,612.01
993.64,671.47,610.51
987.42,670.28,609.18
988.21,670.27,613.48
986.95,671.33,613.44
997.62,673.19,611.57
985.93,669.70,611.44
987.03,671.82,610.46
991.11,674.52,615.25
990.24,671.47,611.87
990.77,677.15,614.12
989.10,670.74,613.15
989.11,670.15,611.65
990.12,669.99,611.39
989.00,676.27,613.04
988.79,669.46,609.03
991.04,670.70,612.55
989.09,669.48,610.71
988.55,667.87,611.04
989.78,673.68,612.11
990.53,673.06,612.92
1004.96,670.22,611.30
990.50,673.05,610.75
989.67,673.98,610.84
991.63,676.10,612.75
990.52,675.00,613.33
1000.50,669.93,613.81
989.67,670.86,614.24
986.46,672.75,611.36
989.51,670.75,612.71
988.23,671.33,612.20
988.83,675.92,610.89
991.02,672.18,620.57
990.52,674.79,610.75
989.30,672.06,615.40
989.81,670.34,613.83
992.11,672.32,610.05
990.60,673.75,613.52
993.64,672.88,615.41
990.35,672.98,612.02
989.21,674.08,613.64
987.95,679.54,613.82
991.47,672.51,612.19
989.31,675.29,613.18
992.68,673.23,614.00
992.87,673.25,615.31
1007.91,672.87,610.57
990.55,673.07,614.30
990.68,675.08,611.52
991.81,675.53,616.97
993.23,671.77,618.62
991.57,673.15,614.29
994.52,674.35,614.09
995.37,677.11,615.19
993.76,673.84,616.19
1002.20,677.10,617.99
995.64,677.36,620.47
992.19,674.43,614.03
996.19,675.78,613.17
995.06,681.20,615.27
996.75,675.59,614.28
993.69,675.60,613.96
992.70,678.66,613.06
994.53,674.42,616.40
996.85,673.40,613.39
997.02,679.03,615.56
996.72,675.83,613.99
996.12,674.65,616.31
1003.52,676.47,615.77
996.83,674.72,622.99
1000.30,673.90,613.62
995.14,675.40,613.24
994.17,670.66,613.84
992.71,671.63,618.68
1000.59,675.63,613.49
990.52,674.23,614.75
994.65,675.46,614.25
993.45,674.85,609.34
993.69,673.17,614.16
992.98,678.70,611.56
992.82,673.09,613.69
996.33,677.60,614.98
992.13,672.11,613.01
992.99,676.07,617.48
995.15,672.59,613.09
992.10,674.38,615.62
991.12,673.64,612.14
993.88,675.24,614.20
993.67,674.84,613.98
991.40,673.96,611.20
991.86,676.27,613.45
990.71,689.68,612.88
995.04,675.72,612.67
992.72,672.27,611.82
990.35,673.96,611.10
1004.73,675.04,610.75
993.87,673.87,610.78
987.43,669.53,612.74
988.79,680.02,614.21
990.56,675.29,610.30
991.12,671.70,609.70
989.05,671.25,612.43
989.93,669.37,609.15
991.00,672.28,610.96
990.43,672.00,611.01
993.57,678.61,608.56
990.73,670.99,611.73
987.75,670.08,610.53
988.01,669.85,611.47
987.73,667.92,609.92
987.90,670.06,608.18
987.37,668.77,609.21
987.22,669.41,608.47
986.52,671.29,609.50
982.95,670.92,607.81
993.97,670.42,609.72
986.96,667.41,608.75
986.29,670.06,611.18
983.68,671.41,610.52
989.79,669.08,607.45
982.77,670.56,606.84
983.66,668.71,609.24
982.56,669.81,607.68
986.29,666.74,622.11
982.41,669.93,610.24
983.01,669.81,609.85
982.82,667.23,609.54
985.10,670.86,608.32
983.65,670.39,609.73
983.29,668.96,607.14
994.16,669.75,606.73
985.88,667.70,608.34
986.50,669.79,606.59
987.23,666.77,610.10
983.07,668.90,611.39
985.04,668.65,612.07
983.53,667.18,609.78
985.94,666.51,606.92
986.80,666.44,608.92
985.54,667.31,614.01
982.48,666.20,610.28
983.96,667.30,606.10
985.10,666.05,609.98
983.86,669.28,614.66
980.67,667.33,608.59
983.57,665.90,607.66
984.52,669.19,606.45
982.14,666.60,607.98
983.78,669.82,609.40
983.34,667.21,609.31
981.04,667.71,609.53
981.23,666.78,606.79
984.87,669.67,607.12
982.61,666.07,609.88
984.88,668.02,608.04
981.34,668.20,606.43
981.86,666.32,612.94
980.39,667.62,607.51
980.98,665.37,605.68
981.71,665.72,607.09
980.32,676.44,607.61
981.46,665.26,606.69
985.97,666.79,605.84
982.65,668.63,606.49
981.99,664.32,606.02
978.16,665.33,608.47
978.59,666.44,604.61
979.15,663.73,607.42
981.21,665.65,604.50
986.34,666.34,605.50
982.04,667.84,607.50
983.23,665.11,608.12
978.78,663.67,604.20
979.77,662.72,605.79
983.63,663.46,605.61
981.32,665.66,603.72
981.96,665.01,607.13
979.25,666.69,604.94
980.61,664.93,606.43
978.55,665.79,604.77
983.77,662.71,609.01
980.36,663.96,606.04
995.59,664.83,605.77
980.42,663.12,604.98
979.18,665.67,603.93
980.30,662.00,602.69
988.12,664.64,607.45
978.32,664.11,605.71
979.87,666.21,604.37
979.39,663.68,608.32
982.73,663.38,607.87
980.40,663.92,607.71
979.43,664.73,604.08
980.91,662.78,603.06
976.80,663.72,604.95
986.47,661.96,604.57
980.75,663.31,605.21
978.68,666.29,601.32
978.08,667.18,606.32
981.35,664.85,604.01
979.91,663.90,605.39
979.26,672.66,604.10
980.40,665.37,607.13
978.63,664.07,605.42
993.92,664.36,609.01
981.85,663.51,605.86
984.99,667.87,604.89
979.03,664.30,605.40
982.86,666.23,616.61
980.12,664.45,604.42
978.42,667.73,606.97
982.09,666.14,606.15
980.32,664.46,607.36
978.30,665.61,604.75
980.17,665.78,607.59
980.78,664.14,604.09
981.73,664.74,603.71
981.79,663.22,603.90
980.78,665.03,607.26
981.79,667.43,619.62
980.02,667.48,605.78
978.24,666.79,606.05
978.25,664.35,608.81
981.57,665.19,606.14
981.29,664.27,608.08
978.16,664.99,607.47
978.91,665.71,615.70
977.16,664.60,604.24
977.82,662.84,604.66
978.03,663.04,605.82
980.22,663.53,605.38
978.44,664.01,607.21
979.44,666.00,604.35
979.39,664.98,604.58
977.92,664.00,605.36
981.61,663.38,606.45
980.20,664.91,603.81
982.18,665.01,610.03
980.40,663.36,604.53
977.32,663.14,604.41
976.56,665.35,605.56
978.56,663.42,604.36
977.88,663.78,604.99
995.74,664.01,602.43
981.91,663.14,604.31
980.64,663.84,605.12
979.82,664.41,602.79
977.72,664.28,605.80
981.66,662.28,609.32
976.39,662.55,604.15
980.69,665.69,608.08
979.44,665.69,604.01
975.70,662.90,603.84
978.07,663.86,603.29
980.16,664.30,607.67
975.81,662.58,602.95
978.59,677.74,602.77
976.23,660.67,601.79
974.82,661.64,602.69
976.61,663.60,603.18
976.55,661.56,601.38
975.62,664.85,605.51
976.31,663.14,604.33
979.16,666.93,601.00
977.08,662.36,601.49
975.62,662.88,602.22
974.29,661.83,605.16
974.88,672.21,602.16
975.74,661.72,602.95
976.37,663.49,603.40
974.50,660.47,602.41
974.19,659.88,601.37
976.03,663.28,603.17
977.60,662.14,600.91
975.34,704.94,605.20
979.86,660.17,603.70
984.84,661.34,604.01
975.24,661.40,602.32
979.32,659.99,601.27
975.36,660.68,604.86
975.36,662.85,601.01
977.53,660.49,600.14
972.32,662.68,604.07
978.26,669.26,604.42
973.77,664.10,600.44
972.37,662.11,601.54
971.52,660.75,600.42
973.06,659.96,604.60
970.92,662.25,601.62
971.58,660.70,604.61
970.00,662.24,602.17
971.32,659.31,615.13
968.12,669.15,603.67
972.51,662.69,602.10
969.77,660.23,601.44
969.44,658.84,605.59
971.25,657.38,599.81
971.10,660.89,600.69
970.64,662.37,603.18
971.02,660.79,601.63
972.05,658.04,599.46
972.00,667.56,601.43
972.14,657.69,603.91
971.01,659.70,602.37
970.41,661.73,612.33
973.41,657.94,598.87
972.21,658.66,601.17
973.09,659.88,609.08
971.40,659.82,600.26
972.46,659.26,600.22
974.69,660.65,598.03
974.97,660.53,603.22
972.80,660.98,617.35
972.33,659.35,599.77
972.42,661.79,599.83
974.53,660.18,601.91
969.84,660.18,601.60
973.12,657.86,601.55
973.69,660.18,607.75
971.34,660.74,600.96
973.24,660.77,601.09
973.89,661.11,604.01
993.77,662.08,600.74
971.02,659.92,601.57
967.00,665.90,601.03
972.95,660.81,604.81
971.83,660.38,599.95
975.61,661.20,601.76
971.09,657.82,599.84
968.72,659.39,600.19
975.74,657.48,600.88
968.59,661.14,601.12
972.63,656.57,605.87
970.43,658.66,598.24
970.96,655.70,601.55
969.89,657.01,602.22
969.78,663.01,601.33
967.75,658.04,597.27
968.68,660.00,603.26
969.81,658.31,601.54
969.44,658.52,597.86
975.38,658.60,601.69
969.49,659.71,599.29
965.29,659.86,608.90
969.03,656.32,597.87
968.20,659.74,600.73
967.00,658.61,597.94
969.02,659.41,600.98
965.67,657.94,598.68
966.50,658.37,600.66
966.59,656.33,602.13
964.52,656.20,618.49
964.89,657.34,600.19
964.31,654.66,598.20
964.86,657.98,598.39
965.87,662.22,600.09
967.28,656.45,597.97
977.72,655.25,597.49
964.57,655.79,599.12
964.29,657.43,595.92
965.11,657.90,598.21
965.75,659.05,599.68
965.02,658.59,599.28
967.80,657.33,599.94
965.45,658.34,599.36
965.21,658.04,597.19
967.45,654.20,600.18
969.08,655.72,600.54
966.09,658.10,600.67
967.05,659.64,598.88
966.87,659.34,598.55
964.45,657.45,601.47
967.81,664.98,597.74
968.25,656.24,600.83
966.70,655.98,598.58
965.77,664.49,596.27
966.04,656.11,602.35
966.07,675.43,598.58
970.69,656.48,598.25
964.12,656.33,599.30
968.37,655.31,598.36
966.25,656.61,597.76
967.72,655.13,599.34
964.08,655.32,598.90
966.98,656.51,599.10
965.94,654.34,599.45
965.63,653.89,598.98
967.20,659.06,598.83
962.17,655.42,596.94
961.95,655.37,599.35
965.75,654.57,596.29
961.18,653.67,595.03
960.35,653.95,596.87
968.70,656.59,594.83
959.90,652.94,597.04
962.71,653.90,599.19
958.49,654.34,596.26
960.24,652.85,607.93
960.04,656.31,593.75
958.23,655.24,594.55
957.28,656.47,593.94
956.90,650.89,594.45
957.29,651.92,595.47
957.10,652.74,598.43
955.67,651.50,593.85
956.64,651.89,599.16
953.58,652.24,606.09
953.16,649.64,593.78
954.45,649.45,593.41
953.67,652.38,593.21
952.96,651.86,593.53
954.11,649.62,593.99
966.66,656.26,591.95
953.07,652.21,592.83
954.95,649.79,592.07
952.69,649.53,592.23
952.97,649.40,594.11
951.04,651.37,591.83
952.48,649.39,592.17
952.69,649.20,599.71
951.69,648.40,599.77
950.53,649.91,590.84
950.37,648.70,590.96
953.18,648.14,591.96
952.66,647.29,592.05
950.84,648.00,592.32
950.78,649.31,592.41
950.09,648.48,592.84
950.73,647.40,611.56
951.67,650.00,592.57
950.35,649.28,593.81
950.14,648.41,591.29
950.30,646.16,592.05
954.50,651.25,594.02
949.50,648.54,592.93
963.88,647.98,592.13
952.84,648.56,592.01
952.05,645.42,606.29
950.80,653.00,593.05
949.35,646.96,589.65
948.58,648.59,593.79
955.48,646.46,591.47
948.20,650.74,588.62
953.88,646.27,592.05
949.46,656.37,592.85
950.52,647.50,592.96
946.59,648.03,589.50
950.31,648.73,590.16
947.02,647.30,593.28
950.74,647.38,591.37
950.12,649.25,591.39
951.83,650.68,591.46
948.67,647.33,596.85
951.52,650.48,593.06
952.50,658.37,603.07
947.27,649.47,610.53
949.03,648.60,590.17
963.88,646.78,592.99
951.89,652.17,593.32
951.26,646.10,592.06
949.36,646.14,590.91
950.23,651.22,593.40
949.70,647.60,592.41
949.52,647.88,590.05
950.34,647.60,602.36
948.50,649.55,592.68
948.72,648.41,593.68
947.52,650.58,591.94
948.00,647.23,590.17
946.13,647.71,589.21
947.36,647.44,590.37
952.57,648.74,592.60
947.00,647.63,592.04
946.25,646.48,590.06
944.97,649.16,591.68
947.01,643.93,589.30
945.05,646.69,589.97
944.85,649.27,591.60
944.32,652.25,591.48
948.74,651.98,594.04
945.39,646.69,593.01
947.02,648.10,589.29
946.77,645.76,588.30
946.84,647.00,591.56
947.18,646.20,590.75
943.97,647.25,590.99
944.34,646.50,588.62
945.95,646.35,592.39
947.92,647.76,592.23
950.74,646.80,590.81
947.70,646.90,590.30
946.92,644.70,590.58
947.74,647.12,589.14
949.07,646.86,589.32
948.60,650.43,590.84
