# R,G,B per-pixel dark offset
1123.06,1443.21,1161.04
1122.24,1443.56,1161.22
1121.06,1443.24,1161.57
1121.03,1442.51,1164.01
1120.58,1443.90,1161.82
1121.37,1443.38,1166.37
1121.44,1443.53,1161.54
1120.63,1443.23,1161.41
1121.11,1443.63,1161.60
1120.77,1443.14,1161.77
1120.57,1443.47,1161.56
1120.92,1444.20,1161.66
1121.74,1443.70,1161.50
1121.13,1443.39,1162.24
1120.50,1443.88,1161.29
1122.15,1445.98,1161.90
1121.07,1444.30,1161.28
1120.81,1443.86,1161.28
1120.85,1448.68,1162.05
1120.64,1443.30,1161.34
1120.93,1443.30,1161.21
1120.91,1442.95,1161.16
1120.91,1443.54,1161.28
1120.68,1443.42,1161.53
1121.81,1443.53,1163.15
1121.18,1443.25,1161.76
1121.38,1444.23,1161.47
1121.24,1443.26,1161.84
1121.75,1443.15,1166.20
1121.72,1444.47,1161.90
1121.42,1444.06,1161.47
1121.04,1443.88,1161.45
1121.31,1443.56,1162.48
1122.37,1444.82,1161.32
1121.17,1443.44,1161.29
1121.00,1443.50,1163.59
1121.13,1443.94,1161.52
1121.52,1443.41,1161.70
1121.75,1443.94,1161.92
1121.76,1444.16,1161.99
1122.08,1444.33,1161.39
1121.68,1444.61,1161.67
1121.80,1444.00,1161.33
1121.23,1444.12,1161.82
1122.11,1443.34,1164.00
1122.59,1444.34,1161.47
1121.90,1444.03,1162.57
1120.77,1443.57,1161.44
1122.04,1444.20,1161.69
1124.62,1443.68,1162.61
1121.55,1443.98,1167.41
1121.32,1444.38,1161.54
1122.49,1444.57,1161.37
1121.72,1443.73,1161.69
1121.59,1444.55,1161.75
1121.84,1443.40,1161.84
1122.00,1443.40,1162.00
1122.21,1443.57,1162.45
1121.91,1443.86,1162.27
1121.71,1443.82,1164.93
1122.18,1443.72,1161.58
1122.49,1444.02,1162.11
1121.24,1443.48,1162.59
1121.80,1444.12,1162.39
1122.29,1444.38,1167.20
1122.76,1444.38,1164.83
1121.32,1443.75,1161.52
1122.46,1443.93,1161.65
1121.78,1443.84,1161.72
1122.44,1444.24,1161.55
1122.28,1444.02,1162.56
1121.93,1444.54,1162.25
1121.57,1444.08,1162.20
1123.42,1444.36,1162.21
1121.72,1444.09,1162.12
1121.60,1443.71,1162.92
1121.54,1443.92,1162.54
1122.28,1444.36,1162.36
1122.33,1444.27,1162.01
1123.07,1444.18,1162.18
1122.32,1443.37,1162.55
1122.64,1444.22,1162.76
1122.70,1445.07,1162.64
1122.34,1444.15,1162.58
1129.72,1445.68,1162.08
1121.77,1444.50,1162.11
1122.22,1443.71,1161.37
1121.30,1443.79,1163.00
1122.38,1444.89,1162.26
1122.52,1443.98,1162.16
1123.95,1444.13,1162.35
1121.65,1443.84,1162.48
1122.04,1444.89,1162.55
1121.69,1444.16,1162.09
1122.06,1444.07,1161.47
1121.59,1444.08,1162.23
1121.98,1444.56,1162.60
1122.85,1443.96,1162.96
1121.78,1443.88,1161.86
1121.72,1444.41,1162.45
1122.38,1444.52,1161.48
1122.49,1444.98,1163.05
1122.21,1444.57,1162.88
1121.88,1444.21,1162.27
1122.55,1444.12,1162.21
1122.49,1443.97,1162.21
1122.21,1443.91,1162.07
1124.43,1444.32,1162.05
1128.81,1444.85,1162.56
1126.08,1444.37,1162.32
1123.19,1444.50,1161.43
1123.99,1444.17,1162.22
1122.13,1444.15,1161.99
1122.15,1443.94,1162.00
1121.97,1443.67,1161.99
1123.11,1444.46,1161.69
1123.06,1444.09,1161.37
1121.67,1443.93,1162.54
1121.80,1444.51,1162.51
1122.27,1443.94,1162.59
1122.21,1443.48,1162.01
1121.67,1444.47,1162.00
1122.59,1445.89,1161.31
1122.59,1444.15,1161.98
1122.39,1444.03,1162.69
1121.81,1443.81,1161.97
1121.56,1444.99,1161.45
1121.91,1444.07,1161.65
1121.69,1443.71,1162.39
1121.87,1443.98,1162.74
1122.56,1444.17,1162.46
1121.72,1444.28,1161.87
1122.51,1448.76,1163.07
1122.30,1443.78,1162.21
1122.09,1447.78,1162.25
1121.57,1443.79,1161.59
1123.24,1446.84,1162.23
1122.38,1443.77,1161.86
1122.10,1444.19,1161.72
1122.34,1444.32,1162.17
1122.14,1444.73,1162.19
1122.42,1444.11,1162.38
1122.12,1443.61,1161.68
1122.03,1443.83,1162.54
1122.54,1444.50,1161.81
