# R,G,B per-pixel gain multiplier
18.337110,20.860821,24.789755
17.916048,20.156142,23.850038
17.461523,19.414303,22.989191
16.843957,18.477632,21.811132
16.182764,17.656529,20.632797
15.386091,16.729220,19.363272
14.537460,15.738798,18.115271
13.689305,14.668546,16.865634
12.736090,13.673411,15.677212
11.790978,12.540170,14.401918
10.844260,11.438684,13.097067
9.708473,10.305870,11.771928
8.663617,9.177046,10.481484
7.652956,8.077040,9.232625
6.674780,7.046030,8.013615
5.810600,6.100048,6.862428
5.055718,5.334072,5.875515
4.466166,4.744087,5.097565
4.003574,4.240855,4.503497
3.583341,3.789499,4.026823
3.233641,3.445966,3.609876
2.963990,3.141346,3.269524
2.724017,2.886025,2.975847
2.502726,2.669376,2.731248
2.338400,2.489258,2.522798
2.190812,2.328465,2.348481
2.062943,2.196091,2.191127
1.956872,2.076898,2.067058
1.862067,1.993302,1.961588
1.783274,1.899940,1.871746
1.726338,1.824840,1.796383
1.657989,1.768015,1.733622
1.616134,1.709290,1.691432
1.571230,1.667968,1.649233
1.531870,1.635181,1.622231
1.503372,1.603907,1.595309
1.474826,1.578967,1.574583
1.451626,1.550327,1.560335
1.435808,1.532242,1.541122
1.419449,1.518531,1.528181
1.407348,1.509959,1.515393
1.402558,1.494499,1.504837
1.391613,1.483615,1.493220
1.384443,1.473384,1.481238
1.374179,1.463347,1.472933
1.369510,1.452363,1.465200
1.363090,1.446356,1.460689
1.350946,1.442869,1.498316
1.347059,1.438051,1.494255
1.342632,1.423836,1.432658
1.336073,1.419426,1.425731
1.331562,1.414323,1.416959
1.323944,1.405432,1.412141
1.319507,1.398898,1.410647
1.312526,1.393465,1.401847
1.309301,1.385989,1.388220
1.305027,1.382609,1.381925
1.297171,1.374550,1.373793
1.290615,1.366646,1.363453
1.284994,1.361400,1.358149
1.280699,1.356987,1.353920
1.276126,1.348925,1.346520
1.263691,1.344224,1.336047
1.255759,1.327835,1.328997
1.255070,1.328033,1.319899
1.246833,1.317806,1.310232
1.240287,1.312681,1.301556
1.231294,1.302441,1.299178
1.226456,1.295533,1.288424
1.223327,1.288765,1.283408
1.217922,1.276954,1.276362
1.210811,1.275359,1.267044
1.204960,1.268623,1.264052
1.202484,1.263476,1.261684
1.196281,1.255855,1.253797
1.195079,1.256149,1.249491
1.192394,1.247241,1.248399
1.187792,1.242236,1.240951
1.184846,1.239612,1.234396
1.179706,1.233568,1.232845
1.177152,1.230882,1.228364
1.172864,1.230191,1.226809
1.171977,1.223088,1.224007
1.166013,1.224287,1.219382
1.167687,1.214690,1.214353
1.159368,1.216082,1.210652
1.158104,1.212672,1.210840
1.156385,1.211754,1.203738
1.155681,1.202067,1.206247
1.151027,1.201680,1.201195
1.149044,1.198219,1.198254
1.145491,1.192865,1.194985
1.142938,1.189949,1.194020
1.134822,1.188695,1.192550
1.132105,1.186729,1.188872
1.129943,1.183933,1.184109
1.125127,1.177510,1.181175
1.123725,1.177095,1.179763
1.124690,1.173946,1.177690
1.124058,1.172624,1.172777
1.116493,1.168456,1.181334
1.117434,1.165230,1.170435
1.116107,1.160643,1.162805
1.112791,1.158898,1.161466
1.110987,1.159345,1.160320
1.103822,1.155719,1.160339
1.101645,1.154929,1.155640
1.108722,1.152959,1.154136
1.101462,1.146744,1.154004
1.100472,1.143947,1.151174
1.093967,1.145066,1.146403
1.092800,1.146175,1.145665
1.097565,1.139958,1.144900
1.093437,1.142050,1.139937
1.087028,1.138490,1.143306
1.089361,1.138314,1.141177
1.087173,1.134482,1.138764
1.084897,1.131938,1.139872
1.088004,1.131432,1.136770
1.077923,1.128856,1.135336
1.078390,1.130136,1.134883
1.080222,1.128772,1.131412
1.078146,1.131728,1.127574
1.074941,1.120590,1.128972
1.073432,1.118426,1.125428
1.072222,1.118326,1.123045
1.073343,1.123326,1.124119
1.070262,1.114305,1.126019
1.061194,1.117601,1.123842
1.068026,1.113935,1.119146
1.072663,1.114073,1.119895
1.066948,1.109745,1.116318
1.066397,1.110066,1.115156
1.063848,1.110047,1.112797
1.067263,1.109481,1.109749
1.061710,1.107531,1.111450
1.062612,1.107636,1.110908
1.062562,1.107031,1.109651
1.062262,1.102312,1.106908
1.056285,1.102709,1.108439
1.055838,1.101184,1.107183
1.057899,1.101367,1.101762
1.057394,1.098781,1.099779
1.056023,1.097139,1.098822
1.055834,1.096565,1.099805
1.050857,1.094382,1.099506
1.055783,1.093615,1.102789
1.054146,1.091431,1.097800
1.051539,1.093769,1.097533
1.050810,1.088357,1.093347
1.048682,1.093410,1.092086
1.048541,1.090662,1.089682
1.047020,1.087061,1.090833
1.046514,1.087068,1.089884
1.045130,1.085027,1.089291
1.044250,1.081254,1.089900
1.043017,1.081671,1.090152
1.043949,1.085786,1.088672
1.042868,1.084593,1.087439
1.041874,1.083709,1.086277
1.042171,1.079801,1.087325
