# R,G,B per-pixel gain multiplier
17.244395,19.561596,24.537101
17.091606,18.809287,23.757282
16.036831,19.277912,20.951646
16.144617,17.609490,21.808285
15.427533,17.139284,19.083281
14.841748,16.028314,19.432497
13.469418,15.555717,17.415210
13.195234,14.545029,15.898401
12.363685,13.624992,15.058179
11.261249,12.401567,14.075024
10.622847,11.176661,12.774818
9.592213,10.027647,11.766372
8.475612,9.076964,10.441024
7.541005,7.950946,9.171623
6.619224,7.062651,7.939389
5.791654,6.103252,6.808670
5.039476,5.308023,5.917914
4.429948,4.737757,5.100786
3.971686,4.226474,4.517284
3.551259,3.791133,4.025150
3.208682,3.443385,3.599911
2.946588,3.132258,3.267921
2.704842,2.879247,2.971108
2.487322,2.662168,2.721712
2.325194,2.480547,2.515351
2.179029,2.320496,2.341968
2.051617,2.187524,2.185329
1.945821,2.068395,2.060112
1.851822,1.985176,1.952979
1.773585,1.892979,1.865013
1.717139,1.817817,1.789241
1.649541,1.761129,1.727693
1.608019,1.703054,1.684740
1.562997,1.661560,1.642972
1.524202,1.629175,1.615588
1.496092,1.597931,1.589702
1.467980,1.573546,1.569680
1.445367,1.545646,1.556050
1.430456,1.528604,1.537153
1.414715,1.515120,1.524200
1.402683,1.506957,1.512732
1.398102,1.491469,1.501718
1.387294,1.480559,1.490309
1.380299,1.470746,1.478546
1.370246,1.460694,1.470714
1.365595,1.449798,1.462756
1.359418,1.443934,1.458359
1.347626,1.440283,1.496027
1.343876,1.435798,1.491766
1.339579,1.421673,1.430461
1.332914,1.417549,1.423228
1.328670,1.412286,1.415179
1.320975,1.403505,1.410549
1.316394,1.396978,1.408862
1.309745,1.391537,1.400194
1.306428,1.384198,1.386489
1.302073,1.381037,1.380077
1.294368,1.372695,1.372022
1.287844,1.364838,1.361689
1.282265,1.359545,1.355772
1.277819,1.355056,1.351963
1.273246,1.347064,1.344567
1.261039,1.342448,1.334130
1.252921,1.326253,1.326929
1.252323,1.326354,1.317655
1.243869,1.316085,1.308348
1.237629,1.311020,1.300006
1.228710,1.300789,1.297445
1.223913,1.293849,1.286699
1.220802,1.287067,1.281687
1.215472,1.275567,1.275037
1.208489,1.274010,1.265772
1.202784,1.267265,1.262796
1.200249,1.262192,1.260358
1.194203,1.254563,1.252676
1.192962,1.254802,1.248160
1.190251,1.246057,1.247144
1.185783,1.241002,1.239517
1.182974,1.238466,1.233037
1.177693,1.232383,1.231455
1.175100,1.229743,1.227054
1.170922,1.228979,1.225477
1.170008,1.222056,1.222757
1.164080,1.223087,1.218308
1.165510,1.213677,1.213290
1.157559,1.214961,1.209954
1.156375,1.211493,1.210157
1.154470,1.210792,1.202985
1.153807,1.200962,1.205456
1.149131,1.200942,1.200425
1.147274,1.197414,1.197506
1.143853,1.191996,1.194188
1.141299,1.188815,1.193144
1.133216,1.187695,1.191815
1.130423,1.185689,1.188144
1.128324,1.182913,1.183457
1.123609,1.176389,1.180409
1.122102,1.176007,1.178928
1.123231,1.172999,1.176837
1.122615,1.171647,1.171911
1.115143,1.167700,1.180451
1.115973,1.164396,1.169445
1.114677,1.159836,1.161994
1.111315,1.158009,1.160764
1.109573,1.158536,1.159823
1.102392,1.154830,1.159851
1.100344,1.154073,1.155229
1.107261,1.151965,1.153807
1.099956,1.145997,1.153547
1.099200,1.143150,1.150719
1.092682,1.144341,1.146032
1.091463,1.145305,1.145209
1.096335,1.139217,1.144223
1.092256,1.141218,1.139370
1.085901,1.137717,1.142469
1.088254,1.137450,1.140441
1.086025,1.133775,1.138162
1.083724,1.131135,1.139098
1.086905,1.130461,1.135993
1.076841,1.128149,1.134591
1.077284,1.129358,1.134119
1.079096,1.127956,1.130647
1.077038,1.130717,1.126956
1.073891,1.119908,1.128228
1.072268,1.117719,1.124824
1.071246,1.117568,1.122492
1.072235,1.122432,1.123464
1.069053,1.113573,1.125337
1.060163,1.116900,1.123161
1.066866,1.113324,1.118453
1.071524,1.113648,1.119163
1.065916,1.109100,1.115789
1.065242,1.109317,1.114456
1.062704,1.109280,1.112116
1.066202,1.108643,1.109244
1.060659,1.106941,1.110967
1.061543,1.107102,1.110498
1.061662,1.106535,1.109237
1.061387,1.101789,1.106610
1.055276,1.102065,1.107954
1.054918,1.100682,1.106692
1.056909,1.100827,1.101411
1.056371,1.098224,1.099462
1.054972,1.096678,1.098429
1.054832,1.095844,1.099425
1.049989,1.093945,1.099071
1.054821,1.093026,1.102471
1.053150,1.090987,1.097363
1.050550,1.093253,1.097081
1.049877,1.087951,1.093096
1.047730,1.093021,1.091864
1.047569,1.090287,1.089283
1.046106,1.086576,1.090465
1.045671,1.086521,1.089577
1.044206,1.084547,1.088782
1.043360,1.080741,1.089431
1.042232,1.081277,1.089714
1.043109,1.085339,1.088370
1.042070,1.084020,1.087470
1.041015,1.083032,1.085904
1.041283,1.079310,1.087113
1.037910,1.080121,1.085206
1.035774,1.077945,1.081991
1.038731,1.076684,1.083191
1.038935,1.078859,1.082762
1.036462,1.074249,1.082508
1.038421,1.086155,1.080108
1.039411,1.071057,1.080483
1.040963,1.075259,1.079123
1.038359,1.070728,1.081412
1.033704,1.070460,1.077674
1.036444,1.072106,1.077602
1.031979,1.070129,1.078214
1.033939,1.069869,1.077028
1.030795,1.068202,1.076543
1.031204,1.069074,1.076694
1.033727,1.070336,1.076969
1.031420,1.065405,1.074695
1.035267,1.067792,1.076498
1.032089,1.068639,1.070810
1.032565,1.064807,1.072114
1.029044,1.064816,1.071439
1.026990,1.065700,1.072952
1.027330,1.062753,1.070837
1.027820,1.067250,1.069396
1.026770,1.062766,1.069727
1.030062,1.060764,1.067017
1.026137,1.066674,1.065751
1.026792,1.058210,1.064560
1.030402,1.059188,1.061521
1.028300,1.058123,1.061298
1.031353,1.059107,1.063376
1.028203,1.056153,1.061068
1.027464,1.053794,1.061670
1.024267,1.054706,1.058251
1.024334,1.053834,1.071014
1.022163,1.056009,1.058011
1.023502,1.049552,1.057651
1.022001,1.051923,1.060682
1.021071,1.052796,1.055305
1.020502,1.053733,1.055572
1.022423,1.050048,1.054092
1.018241,1.051220,1.055120
1.023681,1.048807,1.056300
1.019063,1.054174,1.056259
1.018802,1.051534,1.055337
1.016765,1.045122,1.052494
1.018020,1.048355,1.050937
1.015881,1.043433,1.048483
1.019718,1.042750,1.050175
1.017946,1.044190,1.048838
1.017314,1.045118,1.051749
1.018271,1.045695,1.047901
1.018831,1.044152,1.047361
1.015903,1.041583,1.048165
1.015582,1.043032,1.045926
1.014646,1.041852,1.044631
1.015396,1.045808,1.047409
1.016599,1.041219,1.046057
1.014705,1.041583,1.049952
1.014280,1.040253,1.043182
1.014795,1.037799,1.043875
1.016949,1.041954,1.041274
1.018187,1.039326,1.044115
1.016184,1.038176,1.041659
1.014671,1.043192,1.043913
1.014644,1.037536,1.042561
1.013559,1.038122,1.042250
1.011972,1.035879,1.043295
1.013124,1.035223,1.042818
1.010499,1.035862,1.040512
1.008986,1.038374,1.043132
1.008751,1.035076,1.042101
1.012269,1.036135,1.041373
1.014024,1.036670,1.039374
1.012442,1.035793,1.040167
1.009165,1.035576,1.037032
1.014221,1.033105,1.038285
1.011573,1.032528,1.036864
1.012035,1.034420,1.038381
1.012486,1.031903,1.037932
1.012175,1.033360,1.037505
1.010197,1.034286,1.039011
1.005912,1.032139,1.038165
1.009190,1.033456,1.042326
1.008763,1.033583,1.038463
1.007795,1.035317,1.037395
1.008941,1.036072,1.034642
1.008143,1.034389,1.035902
1.007578,1.026316,1.031693
1.004967,1.029827,1.033888
1.012695,1.029701,1.032623
1.006797,1.030970,1.032361
1.007408,1.029012,1.033464
1.006320,1.028698,1.028562
1.009172,1.025143,1.027530
1.009132,1.028369,1.029250
1.008630,1.023130,1.025160
1.009566,1.025257,1.026509
1.009215,1.023867,1.025485
1.011163,1.022370,1.027071
1.010321,1.020278,1.028706
1.007846,1.024665,1.025378
1.007619,1.022731,1.023938
1.007632,1.023276,1.024555
1.005256,1.021705,1.024200
1.006758,1.022781,1.028364
1.008384,1.022678,1.025416
1.007777,1.026115,1.024923
1.004630,1.020651,1.025575
1.005349,1.023228,1.023769
1.004409,1.017366,1.020954
1.008429,1.019311,1.025072
1.003711,1.021926,1.025471
1.002737,1.022661,1.023646
1.006554,1.020831,1.022593
1.006094,1.018015,1.023993
1.004002,1.015855,1.023084
1.011838,1.017805,1.019560
1.010400,1.017316,1.020011
1.005519,1.018498,1.022082
1.006123,1.020316,1.024567
1.008844,1.017908,1.023121
1.005976,1.016162,1.019244
1.004337,1.011716,1.020357
1.004965,1.013581,1.020736
